文件路径,文件类型,API URL,HTTP方法,API类型,服务名称,API版本,认证方式,错误处理,依赖级别,安全等级,行号
config/api-config.json,Config,/api/auth/login,POST,内部API,内部接口,无版本,无认证,否,低依赖,需加强,27
config/api-config.json,Config,/api/upload,POST,内部API,内部接口,无版本,无认证,否,低依赖,需加强,28
config/api-config.json,Config,https://api.openweathermap.org/data/2.5/weather,GET,外部API,第三方服务(openweathermap),v2,无认证,否,中依赖,需加强,31
config/api-config.json,Config,https://sandbox-api.paypal.com/v2/payments,GET,外部API,第三方服务(paypal),v2,无认证,否,中依赖,需加强,32
config/api-config.json,Config,https://www.google-analytics.com/collect,GET,外部API,Google API,无版本,无认证,否,中依赖,需加强,33
.env,Config,https://api.example.com,GET,外部API,第三方服务(example.com),无版本,无认证,否,中依赖,需加强,8
.env,Config,https://api.stripe.com/v1,GET,外部API,Stripe API,v1,无认证,否,中依赖,需加强,9
.env,Config,https://api.github.com,GET,外部API,GitHub API,无版本,无认证,否,中依赖,需加强,10
.env,Config,https://api.openweathermap.org/data/2.5,GET,外部API,第三方服务(openweathermap),v2,无认证,否,中依赖,需加强,11
.env,Config,https://analytics.google.com/collect,GET,外部API,Google API,无版本,无认证,否,中依赖,需加强,12
.env,Config,/api/v2,GET,内部API,内部接口,v2,无认证,否,低依赖,需加强,15
.env,Config,/api/v1/users,GET,内部API,内部接口,v1,无认证,否,低依赖,需加强,16
.env,Config,/auth/login,POST,内部API,内部接口,无版本,无认证,否,低依赖,需加强,17
.env,Config,/upload,POST,内部API,内部接口,无版本,无认证,否,低依赖,需加强,18
.env,Config,https://hooks.slack.com/services/YOUR_WORKSPACE/YOUR_CHANNEL/YOUR_SECRET_TOKEN,GET,外部API,第三方服务(slack),无版本,无认证,否,中依赖,需加强,21
.env,Config,https://graph.facebook.com/v18.0,GET,外部API,Facebook API,v18,无认证,否,中依赖,需加强,22
.env,Config,https://api.amazonaws.com,GET,外部API,AWS API,无版本,无认证,否,中依赖,需加强,23
